IDZonaManzana,IDZona,IDManzana,IDComuna
200768-1,52,1393,4101
200769-K,52,1393,4101
200770-3,52,1393,4101
200771-1,52,1393,4101
200772-K,52,1393,4101
200773-8,52,1393,4101
200774-6,52,1393,4101
200775-4,52,1393,4101
200776-2,52,1393,4101
200777-0,52,1393,4101
200778-9,52,1393,4101
200779-7,52,1393,4101
200780-0,52,1393,4101
200781-9,52,1393,4101
200782-7,52,1393,4101
200783-5,52,1393,4101
200784-3,52,1393,4101
200785-1,52,1393,4101
200786-K,52,1393,4101
200787-8,52,1393,4101
200788-6,52,1393,4101
200789-4,52,1393,4101
200790-8,52,1393,4101
200791-6,52,1393,4101
200792-4,52,1393,4101
200793-2,52,1393,4101
200794-0,52,1393,4101
200795-9,52,1393,4101
200796-7,52,1393,4101
200797-5,52,1393,4101
200798-3,52,1393,4101
200799-1,52,1393,4101
200800-9,52,1393,4101
200801-7,52,1393,4101
200802-5,52,1393,4101
200803-3,52,1393,4101
200804-1,52,1393,4101
200805-K,52,1393,4101
200806-8,52,1393,4101
200807-6,52,1393,4101
200808-4,52,1393,4101
200809-2,52,1393,4101
200810-6,52,1393,4101
200811-4,52,1393,4101
200812-2,52,1393,4101
200813-0,52,1393,4101
200814-9,52,1393,4101
200815-7,52,1393,4101
200816-5,52,1393,4101
200817-3,52,1393,4101
200818-1,52,1393,4101
200819-K,52,1393,4101
200820-3,52,1393,4101
200821-1,52,1393,4101
200822-K,52,1393,4101
200823-8,52,1393,4101
200824-6,52,1393,4101
200825-4,52,1393,4101
200826-2,52,1393,4101
200827-0,52,1393,4101
200828-9,52,1393,4101
200829-7,52,1393,4101
200830-0,52,1393,4101
200831-9,52,1393,4101
200832-7,52,1393,4101
200833-5,52,1393,4101
200834-3,52,1393,4101
200835-1,52,1393,4101
200836-K,52,1393,4101
200837-8,52,1393,4101
200838-6,52,1393,4101
200839-4,52,1393,4101
200840-8,52,1393,4101
200841-6,52,1393,4101
200842-4,52,1393,4101
200843-2,52,1420,4101
200844-0,52,1420,4101
200845-9,52,1420,4101
200846-7,52,1420,4101
200847-5,52,1420,4101
200848-3,52,1420,4101
200849-1,52,1420,4101
200850-5,52,1420,4101
200851-3,52,1420,4101
200852-1,52,1420,4101
200853-K,52,1420,4101
200854-8,52,1420,4101
200855-6,52,1420,4101
200856-4,52,1420,4101
200857-2,52,1420,4101
200858-0,52,1420,4101
200859-9,52,1420,4101
200860-2,52,1420,4101
200861-0,52,1420,4101
200862-9,52,1420,4101
200863-7,52,1420,4101
200864-5,52,1420,4101
200865-3,52,1420,4101
200866-1,52,1420,4101
200867-K,52,1420,4101
200868-8,52,1420,4101
200869-6,52,1420,4101
200870-K,52,1420,4101
200871-8,52,1420,4101
200872-6,52,1420,4101
200873-4,52,1420,4101
200874-2,52,1420,4101
200875-0,52,1420,4101
200876-9,52,1420,4101
200877-7,52,1420,4101
200878-5,52,1420,4101
200879-3,52,1463,4101
200880-7,52,1463,4101
200881-5,52,1463,4101
200882-3,52,1463,4101
200883-1,52,1463,4101
200884-K,52,1463,4101
200885-8,52,1463,4101
