IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
81143008,325000.0,1_BAJO,1_BAJO,0
81143011,250000.0,1_BAJO,1_BAJO,0
81143901,810000.0,2_MEDIO,2_MEDIO,0
81147001,325000.0,1_BAJO,1_BAJO,0
81147003,270000.0,1_BAJO,1_BAJO,1
81147027,325000.0,1_BAJO,1_BAJO,0
81147029,535000.0,2_MEDIO,2_MEDIO,0
81147034,240000.0,1_BAJO,1_BAJO,1
81149004,1025000.0,3_ALTO,3_ALTO,0
81149007,625000.0,2_MEDIO,2_MEDIO,0
81149009,410000.0,2_MEDIO,2_MEDIO,0
81149014,500000.0,2_MEDIO,2_MEDIO,0
81149015,410000.0,2_MEDIO,2_MEDIO,0
82039004,160000.0,1_BAJO,1_BAJO,0
82039008,340000.0,1_BAJO,1_BAJO,0
82039009,250000.0,1_BAJO,1_BAJO,0
82039013,410000.0,2_MEDIO,2_MEDIO,0
82039016,250000.0,1_BAJO,1_BAJO,0
82067001,500000.0,2_MEDIO,2_MEDIO,0
82067007,575000.0,2_MEDIO,2_MEDIO,0
82067011,340000.0,1_BAJO,1_BAJO,0
82067014,375000.0,2_MEDIO,2_MEDIO,0
82067017,450000.0,2_MEDIO,2_MEDIO,0
82078003,570000.0,2_MEDIO,2_MEDIO,0
82078006,480000.0,2_MEDIO,2_MEDIO,0
82078010,180000.0,1_BAJO,1_BAJO,1
82078012,3150018.0,3_ALTO,3_ALTO,0
82078017,250000.0,1_BAJO,1_BAJO,0
82078024,160000.0,1_BAJO,1_BAJO,0
82078900,250000.0,1_BAJO,1_BAJO,0
82099012,160000.0,1_BAJO,1_BAJO,0
82099013,450000.0,2_MEDIO,2_MEDIO,0
82099020,550000.0,2_MEDIO,2_MEDIO,0
82099024,550000.0,2_MEDIO,2_MEDIO,0
82099029,450000.0,2_MEDIO,2_MEDIO,0
82099033,500000.0,2_MEDIO,2_MEDIO,0
82099034,210000.0,1_BAJO,1_BAJO,1
83003003,700000.0,2_MEDIO,2_MEDIO,0
83003023,925000.0,2_MEDIO,2_MEDIO,0
83010001,160000.0,1_BAJO,1_BAJO,0
83010003,500000.0,2_MEDIO,2_MEDIO,0
83010063,575000.0,2_MEDIO,2_MEDIO,0
83010073,325000.0,1_BAJO,1_BAJO,0
83010087,340000.0,1_BAJO,1_BAJO,0
83010093,160000.0,1_BAJO,1_BAJO,0
83010129,325000.0,1_BAJO,1_BAJO,0
83010141,250000.0,1_BAJO,1_BAJO,0
83013001,500000.0,2_MEDIO,2_MEDIO,0
83013003,325000.0,1_BAJO,1_BAJO,0
83013021,90000.0,1_BAJO,1_BAJO,0
83013024,610000.0,2_MEDIO,2_MEDIO,0
83013030,250000.0,1_BAJO,1_BAJO,0
83013033,250000.0,1_BAJO,1_BAJO,0
83013056,410000.0,2_MEDIO,2_MEDIO,0
83013060,410000.0,2_MEDIO,2_MEDIO,0
83013900,325000.0,1_BAJO,1_BAJO,0
84029001,1000000.0,2_MEDIO,2_MEDIO,0
84029026,1150000.0,3_ALTO,3_ALTO,0
84029044,900000.0,2_MEDIO,2_MEDIO,0
84029049,1250000.0,3_ALTO,3_ALTO,0
