IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
526840,31.906916671500312,Martes,2
526858,47.39790257127969,Jueves,4
526887,72.18706903467269,Jueves,4
526901,54.76227751172435,Jueves,4
526907,38.648428968290474,Jueves,4
526917,22.6098917565134,Miércoles,3
526918,38.648428968290474,Miércoles,3
526927,38.648428968290474,Miércoles,3
526946,28.809936307545932,Miércoles,3
526953,72.18706903467269,Martes,2
526963,28.809936307545932,Martes,2
526964,72.18706903467269,Miércoles,3
527063,38.648428968290474,Miércoles,3
527071,28.809936307545932,Jueves,4
527086,40.86453780803458,Jueves,4
527099,39.949530315930055,Martes,2
527102,36.77989819590393,Martes,2
527245,36.12667487182033,Jueves,4
527272,31.703789388050787,Jueves,4
527273,59.66541491839098,Jueves,4
527274,143.7509784682764,Jueves,4
527275,31.703789388050787,Jueves,4
527284,46.03326779575274,Jueves,4
527290,36.12667487182033,Jueves,4
527291,31.703789388050787,Jueves,4
527410,36.12667487182033,Martes,2
528545,46.03326779575274,Miércoles,3
528547,25.732872724648992,Miércoles,3
528552,59.66541491839098,Miércoles,3
528655,36.12667487182033,Miércoles,3
528658,36.12667487182033,Miércoles,3
528676,67.55828141519322,Jueves,4
528893,36.12667487182033,Jueves,4
528907,46.03326779575274,Martes,2
530401,39.977018835372256,Martes,2
531828,35.51578374487073,Jueves,4
531837,41.886730849058,Jueves,4
531851,41.886730849058,Jueves,4
531854,41.886730849058,Jueves,4
531864,30.523236645879145,Jueves,4
531867,58.5941389284433,Jueves,4
531894,34.30608348483727,Miércoles,3
531902,56.20299050160601,Miércoles,3
531934,41.886730849058,Miércoles,3
531940,35.51578374487073,Miércoles,3
531946,34.30608348483727,Miércoles,3
531972,35.51578374487073,Martes,2
531974,41.886730849058,Martes,2
531980,34.30608348483727,Martes,2
600019,43.78991119076895,Martes,2
600032,60.344738973725384,Miércoles,3
600046,11.202076731005342,Martes,2
600055,23.715030093437004,Martes,2
600057,121.18335368464324,Martes,2
600166,24.256941196835488,Miércoles,3
600180,24.256941196835488,Miércoles,3
600191,24.256941196835488,Jueves,4
600281,72.09724824745284,Martes,2
600282,24.256941196835488,Miércoles,3
600287,69.449501043917,Martes,2
600292,23.008150623162198,Miércoles,3
600335,24.87997907004188,Jueves,4
600340,73.54491272249373,Martes,2
600344,24.87997907004188,Martes,2
600349,24.87997907004188,Martes,2
600355,24.87997907004188,Jueves,4
600370,73.54491272249373,Martes,2
600371,38.94798400039085,Miércoles,3
600401,41.42002445600122,Miércoles,3
600403,41.42002445600122,Miércoles,3
600404,73.54491272249373,Miércoles,3
600414,24.87997907004188,Jueves,4
600430,25.856899941215943,Jueves,4
600438,52.148269987374924,Jueves,4
600474,44.238380801947116,Jueves,4
600500,25.856899941215943,Martes,2
600567,28.826276416538587,Jueves,4
600573,28.826276416538587,Jueves,4
600577,105.44273560320732,Jueves,4
600618,28.760781177147013,Jueves,4
600619,28.760781177147013,Martes,2
600623,41.432018568225004,Miércoles,3
600655,28.760781177147013,Jueves,4
600656,28.826276416538587,Jueves,4
600673,28.760781177147013,Jueves,4
600690,58.12597541392167,Miércoles,3
600692,28.826276416538587,Miércoles,3
600694,28.826276416538587,Jueves,4
600816,23.493381441416364,Martes,2
600828,70.0487873424356,Jueves,4
600835,61.473124776936714,Martes,2
600838,33.031011472785565,Jueves,4
600906,33.031011472785565,Jueves,4
600913,73.16718457989222,Martes,2
600987,37.04377777094175,Martes,2
601082,30.799676513013495,Martes,2
601287,35.72083806383308,Jueves,4
601293,68.18101700658517,Martes,2
601330,64.4318008884717,Martes,2
601991,37.049985526673375,Martes,2
602007,37.049985526673375,Martes,2
602029,23.199734042302932,Martes,2
602081,33.07435925687059,Jueves,4
602097,33.07435925687059,Miércoles,3
602100,33.07435925687059,Jueves,4
602108,30.24541626513052,Jueves,4
602129,63.383719634196844,Miércoles,3
602164,52.760398430599224,Martes,2
602168,32.99921208746341,Martes,2
602224,56.41724604857579,Jueves,4
602225,22.70586426823953,Jueves,4
602369,59.479348962103465,Jueves,4
602372,59.479348962103465,Jueves,4
602377,45.833511950308704,Jueves,4
602569,10.925482243820024,Jueves,4
603026,40.07768003632515,Jueves,4
603037,32.03224773733864,Jueves,4
603053,29.386546864853763,Jueves,4
603079,29.44981761837696,Miércoles,3
603091,57.993146776189654,Miércoles,3
603133,121.14971395005777,Martes,2
603134,30.570391645326918,Martes,2
603159,63.662962244752464,Jueves,4
603193,29.44981761837696,Miércoles,3
603204,29.44981761837696,Miércoles,3
603223,63.662962244752464,Miércoles,3
603227,33.34300898129349,Jueves,4
603232,29.44981761837696,Jueves,4
603235,30.570391645326918,Jueves,4
603243,63.662962244752464,Miércoles,3
603248,30.570391645326918,Miércoles,3
603264,63.662962244752464,Miércoles,3
603268,33.34300898129349,Martes,2
603288,30.570391645326918,Martes,2
603292,43.93242438126787,Miércoles,3
603517,20.408261079648486,Jueves,4
603524,26.87963395833287,Jueves,4
603530,26.87963395833287,Jueves,4
603531,20.408261079648486,Jueves,4
603535,119.71318102319027,Jueves,4
603555,130.91030793676168,Jueves,4
603561,119.71318102319027,Jueves,4
603564,26.87963395833287,Jueves,4
603595,20.408261079648486,Miércoles,3
603598,20.408261079648486,Miércoles,3
603606,130.91030793676168,Jueves,4
603617,20.408261079648486,Jueves,4
603647,26.87963395833287,Jueves,4
603652,20.408261079648486,Jueves,4
603660,26.87963395833287,Miércoles,3
603686,20.408261079648486,Jueves,4
603720,20.408261079648486,Jueves,4
603734,20.408261079648486,Jueves,4
603738,113.13025504836314,Jueves,4
603798,20.408261079648486,Miércoles,3
603826,52.00289448362678,Martes,2
603840,54.27142567444559,Martes,2
603852,28.858024829668075,Martes,2
603874,52.00289448362678,Martes,2
603900,22.561715560017575,Miércoles,3
603926,22.561715560017575,Martes,2
603963,22.28690233135123,Jueves,4
603971,45.66175346299284,Jueves,4
603999,22.28690233135123,Jueves,4
604005,76.01738489476462,Jueves,4
604007,47.65366397079912,Jueves,4
604009,22.28690233135123,Martes,2
604015,45.66175346299284,Jueves,4
604030,47.65366397079912,Jueves,4
604036,22.28690233135123,Jueves,4
604048,47.65366397079912,Miércoles,3
604055,22.28690233135123,Jueves,4
604057,32.683284024377606,Martes,2
604062,32.683284024377606,Jueves,4
604085,45.66175346299284,Martes,2
604091,22.28690233135123,Jueves,4
604093,47.65366397079912,Martes,2
604101,47.65366397079912,Jueves,4
604103,32.683284024377606,Jueves,4
604125,22.28690233135123,Jueves,4
604144,72.06746876508029,Jueves,4
604153,45.66175346299284,Martes,2
604167,72.06746876508029,Martes,2
604175,22.28690233135123,Jueves,4
604181,45.66175346299284,Martes,2
604184,72.06746876508029,Martes,2
604193,32.683284024377606,Jueves,4
604197,32.683284024377606,Jueves,4
604213,22.28690233135123,Jueves,4
604248,32.683284024377606,Martes,2
604254,22.28690233135123,Martes,2
604267,72.06746876508029,Martes,2
604295,29.143420757698504,Miércoles,3
604301,39.74610210796706,Jueves,4
604302,39.83661357413377,Miércoles,3
604325,39.83661357413377,Miércoles,3
604335,39.83661357413377,Martes,2
604351,39.74610210796706,Jueves,4
604424,32.718388884381326,Miércoles,3
604427,36.206319216928186,Miércoles,3
604438,39.74610210796706,Miércoles,3
604449,39.774737825496004,Martes,2
604466,28.468160907044098,Martes,2
604481,28.468160907044098,Martes,2
604547,28.468160907044098,Martes,2
604548,34.591531699846314,Martes,2
604549,28.468160907044098,Martes,2
