IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,IDJornadaTrabajo,Ingreso,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor
607461,2,1957,2,1,4,-1,0,4,1,150000,1,0,1,4,23.56688525420077
607461,3,1978,2,2,5,-1,1,4,2,180000,1,1,1,4,31.922917047777844
607461,4,1992,2,2,6,6,0,14,0,0,2,0,1,2,14.050817866577045
607461,5,2006,1,3,2,3,0,14,0,0,2,1,1,4,78.60455470828612
607463,1,1934,2,0,3,-1,0,9,0,78000,1,1,0,0,25.20730735513444
607469,1,1944,1,0,4,-1,0,4,1,550000,1,1,1,2,51.06210894561183
607469,2,1955,2,1,4,-1,0,11,0,200000,1,1,1,4,105.04845397837305
607469,3,1983,2,2,4,-1,0,13,0,0,2,0,1,4,149.62082997472197
607504,1,1940,2,0,4,-1,0,9,0,180000,1,0,1,4,25.20730735513444
607504,2,1954,1,3,3,-1,0,9,0,75000,1,1,1,4,57.997449368896945
607509,1,1929,1,0,3,-1,0,9,0,125000,1,1,0,0,32.26138294599589
607509,2,1931,2,1,3,-1,0,9,0,75000,1,1,0,0,25.20730735513444
607521,1,1952,2,0,3,-1,0,11,0,0,2,1,0,0,31.012837802305697
607521,2,1980,1,2,7,-1,1,4,1,600000,1,1,1,4,39.24871780488077
607521,3,1987,2,2,6,6,0,14,0,0,2,1,1,3,19.442089454842453
607521,4,1989,2,2,5,7,0,14,0,0,2,1,1,2,19.442089454842453
607556,1,1934,1,0,3,-1,0,9,0,150000,1,1,0,0,15.074766382568026
607556,2,1950,2,1,3,-1,0,11,0,0,2,1,0,0,31.012837802305697
607556,3,1970,1,2,3,-1,0,9,0,75000,1,1,0,0,39.03020554387321
607556,4,1972,1,2,3,-1,0,4,2,80000,1,1,0,0,39.24871780488077
607557,1,1953,2,0,4,-1,0,3,2,200000,1,1,1,7,30.51939760288885
607557,2,1991,1,2,5,7,0,14,0,0,2,1,1,1,24.39230039999724
607565,1,1965,1,0,3,-1,0,4,3,210000,1,0,1,2,51.72587568527725
607587,1,1940,1,0,3,-1,0,9,2,140000,1,0,1,2,32.26138294599589
607587,2,1942,2,1,3,-1,0,9,0,120000,1,1,0,0,25.20730735513444
607589,1,1952,1,0,3,-1,0,4,1,260000,1,0,1,4,57.997449368896945
607589,2,1951,2,1,4,-1,0,11,0,0,2,0,1,4,66.37031786702894
607615,1,1960,1,0,4,-1,0,4,1,370000,1,0,1,2,28.20716933052873
607615,2,1960,2,1,3,-1,0,11,0,0,2,0,1,4,23.56688525420077
607615,3,1982,2,2,4,-1,0,4,1,350000,1,0,1,2,31.922917047777844
607615,4,1993,1,2,4,4,0,14,0,0,2,0,1,2,17.913356859075233
607615,5,1996,1,2,4,4,0,14,0,0,2,0,1,2,29.267805822483282
607615,6,2004,2,2,2,4,0,14,0,0,2,0,1,2,38.35345980553394
607615,7,2003,1,3,2,4,0,14,0,0,2,0,1,2,47.96661216770137
607615,8,2006,2,3,2,3,0,14,0,0,2,0,1,2,10.458603197315586
607644,1,1968,1,0,4,-1,0,4,1,180000,1,0,1,4,39.03020554387321
607644,2,1970,2,1,3,-1,0,11,0,0,2,0,1,4,32.60945345922412
607644,3,1993,1,2,5,-1,1,1,2,0,3,1,1,4,24.78667717408111
607644,4,2005,1,2,2,3,0,14,0,0,2,0,1,4,66.37130830857255
607647,1,1983,2,0,4,-1,0,4,1,350000,1,0,1,4,43.46887009505983
607647,2,2001,1,2,3,4,0,14,0,0,2,0,1,2,65.31528525721204
607647,3,2003,1,2,3,4,0,14,0,0,2,0,1,2,65.31528525721204
607655,1,1973,1,0,4,-1,0,4,2,300000,1,1,1,2,28.365088364291147
607655,2,1973,2,1,4,-1,0,11,0,0,2,0,1,1,31.922917047777844
607655,3,1993,1,2,4,-1,0,4,3,50000,1,1,0,0,17.913356859075233
607655,4,2002,1,2,3,4,0,14,0,0,2,1,1,1,47.96661216770137
607655,5,2002,1,2,3,4,0,14,0,0,2,1,0,0,47.96661216770137
607655,6,2007,2,2,2,3,0,14,0,0,2,0,1,1,10.458603197315586
607655,7,1945,2,3,3,-1,0,9,0,75000,1,1,0,0,8.512413939881721
607658,1,1950,1,0,3,-1,0,12,0,0,2,1,0,0,27.1004501414113
607658,2,1950,2,1,3,-1,0,3,1,180000,1,1,1,4,31.012837802305697
607658,3,1975,1,2,4,-1,0,4,3,400000,1,0,1,2,39.24871780488077
607658,4,1982,2,2,4,-1,0,12,0,200000,1,1,1,2,44.17167845999627
607666,1,1949,2,0,3,-1,0,11,0,0,2,0,1,5,31.012837802305697
